Sequence_Name,Country,Sequence_Length,Execution_Time (sec),Correctness (%)
malawi-2,Malawi,9000,0.078,100.0
malawi-1,Malawi,9000,0.061,100.0
switzerland-1,Switzerland,9000,0.02,100.0
switzerland-3,Switzerland,9000,0.021,100.0
switzerland-2,Switzerland,9000,0.021,100.0
peru-1,Peru,9000,0.02,100.0
peru-2,Peru,9000,0.021,99.9888888888889
