Sequence_Name,Country,Sequence_Length,Execution_Time (sec),Correctness (%)
malawi-2,Malawi,9000,0.036,100.0
malawi-1,Malawi,9000,0.026,100.0
switzerland-1,Switzerland,9000,0.026,100.0
switzerland-3,Switzerland,9000,0.026,100.0
switzerland-2,Switzerland,9000,0.026,100.0
peru-1,Peru,9000,0.027,100.0
peru-2,Peru,9000,0.026,100.0
