Sequence_Name,Country,Sequence_Length,Execution_Time (sec),Correctness (%)
south_africa-1,South_africa,5000,0.033,100.0
thailand-2,Thailand,5000,0.01,100.0
thailand-1,Thailand,5000,0.011,100.0
